MaCK,SanCK,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,,,,
DNR,HASTC,2.46,4.4,374%,1873%,0.51,1577500,1577500,0,772975,17194749,0,0,20688,82998,103686,,,,
DNS,HASTC,2.65,5.7,1015%,2557%,0.80,21600000,21600000,0,10582974,324000000,1523903,0,223896,340077,563973,,,,
DNT,HASTC,0.90,13.3,626%,831%,0.06,7459675,7459675,0,0,89516100,0,0,80696,26353,107050,,,,
DNW,HASTC,1.57,13.8,418%,1006%,1.14,100000000,100000000,0,9499200,2170000076,1114974,156855,1558777,2198213,3756990,,,,
DNY,HASTC,-8.25,-0.3,-1864%,13492%,1.30,26999517,26999517,0,13229763,67498792,38262,0,-165028,1359636,1194608,,,,
DOC,HASTC,0.24,50.0,197%,227%,-0.12,10000000,10000000,0,0,120000000,0,0,103921,16000,119922,,,,
DOGE-USD,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
DOP,HASTC,0.00,0.0,8%,11%,1.10,4719950,4719950,0,2141549,54279425,0,0,73703,21893,95597,,,,
DP1,HASTC,2.01,14.8,358%,1576%,2.30,20979000,20979000,0,0,625174184,1947680,0,268196,912845,1181041,,,,
DP2,HASTC,-1.25,-4.6,-474%,-1706%,0.74,20000000,20000000,0,0,116000004,176493,0,146652,381266,527918,,,,
DP3,HASTC,10.78,10.9,2470%,3061%,0.79,10343750,10343750,0,3332000,1215390625,399444,0,364329,87211,451540,,,,
DPC,HASTC,3.44,5.8,1079%,1481%,1.22,2237280,2237280,0,1096267,44969329,64734,0,51914,19357,71271,,,,
DPD,HASTC,0.13,160.8,97%,133%,0.11,12000000,12000000,0,0,250799995,15154,0,121515,41391,162907,,,,
DPG,HOSE,4025.00,0.0,7%,21%,1.63,62999734,44999810,0,0,1430993924,2103531,253587,1523952,3142178,4666130,,,,
DPH,HASTC,6.47,5.8,896%,1219%,0.73,3000000,3000000,0,0,112500000,378961,3326,159321,57368,216689,,,,
DPM,HOSE,1.96,11.2,671%,932%,1.30,386508640,388954320,2445680,191786000,8576442459,8130455,759201,8149507,3160278,11309785,,,,
DPP,HASTC,2.13,8.7,754%,1412%,0.09,3000010,3000010,0,972869,55500185,0,0,45176,39456,84632,,,,
DPR,HOSE,3.75,16.1,452%,684%,0.90,43000000,43000000,0,21070000,2597200066,1093468,161267,2356745,1213071,3569815,,,,
DPS,HASTC,-0.22,-3.2,-125%,-207%,0.25,31085257,31085257,0,14138772,21759680,247384,0,325510,213443,538953,,,,
DQC,HOSE,0.71,25.9,153%,223%,1.07,29479016,31919216,2440200,16836113,587313562,951029,20920,936356,428254,1364610,,,,
DRC,HOSE,2.34,12.2,1114%,1588%,1.33,118792605,118792605,0,58208376,3397468548,3985729,109504,1750978,745137,2496115,,,,
DRG,HASTC,27.84,0.5,156%,239%,1.18,1658400,1658400,0,0,25207680,1037045,46167,1930653,1027457,2958110,,,,
DRH,HOSE,0.76,11.2,182%,535%,1.86,60428233,60714083,285850,24010000,517284015,33612,45928,857815,1668298,2526113,,,,
DRI,HASTC,0.52,17.7,330%,483%,2.01,73200000,73200000,0,0,673439986,507533,38159,790546,367256,1157802,,,,
DRL,HOSE,6.40,9.1,4472%,4672%,0.36,9500000,9500000,0,4655000,551000000,100310,0,130190,5828,136018,,,,
DS3,HASTC,657.00,0.0,5%,6%,1.63,10669730,10669730,0,0,58683515,54344,0,118092,33577,151669,,,,
DSC,HASTC,0.03,483.3,22%,25%,2.03,6000000,6000000,0,0,87000000,5713,153,60777,2646,69612,,,,
DSG,HASTC,-0.45,-13.3,-773%,-1733%,2.38,30000000,30000000,0,0,180000000,54522,0,78193,97117,175310,,,,
DSN,HOSE,3.02,13.5,1901%,2244%,0.63,12083009,12083009,0,5920674,494195087,71032,17514,162369,29311,191680,,,,
DSP,HASTC,-1.49,-6.4,-1563%,-1681%,0.94,118684000,118684000,0,0,1139366445,86712,0,1055497,79733,1135229,,,,
DSS,HASTC,1.20,5.0,313%,1026%,-0.17,2045000,2045000,0,0,12270000,0,0,23929,54621,78550,,,,
DST,HASTC,0.28,13.2,269%,284%,2.59,32300000,32300000,0,8085000,119510002,34085,9085,320414,16771,337186,,,,
DSV,HASTC,2.28,3.4,235%,1721%,0.59,1229579,1229579,0,0,9467758,0,0,16314,103021,119335,,,,
DT4,HASTC,1.65,4.3,333%,1408%,0.29,1160000,1160000,0,568400,8236000,14291,-945,13559,43842,57401,,,,
DTA,HOSE,-0.03,-290.0,-10%,-34%,1.68,18059832,18059832,0,4900000,157120535,51560,0,185546,413465,599011,,,,
DTB,HASTC,1.98,4.4,804%,1532%,0.62,1558248,1558248,0,0,13712583,0,0,20109,18191,38299,,,,
DTC,HASTC,1.33,9.0,364%,1304%,1.57,10000000,10000000,0,1609172,120000000,307023,0,101962,262901,364863,,,,
DTD,HASTC,4403.00,0.0,10%,29%,1.51,29742958,27039053,0,0,832802812,834243,130946,684829,1326777,2011606,,,,
DTE,HASTC,0.27,93.3,78%,222%,1.07,50725887,50725887,0,0,1278292391,43802,3676,629687,1171578,1801265,,,,
DTG,HASTC,0.76,12.2,186%,399%,1.21,6315928,6315928,0,0,58738132,273734,0,120414,138307,258721,,,,
DTI,HASTC,0.00,0.0,3%,3%,0.59,11521754,11521754,0,0,97934909,7159,0,116627,5329,121957,,,,
DTK,HASTC,0.88,12.7,300%,787%,1.04,680000000,680000000,0,0,7615999870,12249298,596110,7575415,12303814,19879228,,,,
DTL,HOSE,1.72,20.4,428%,936%,1.09,54979924,58207764,3227840,30103445,2043092428,1793284,0,1012844,1204021,2216865,,,,
DTP,HASTC,7.99,7.9,1821%,2703%,1.71,12171782,12171782,0,0,772908157,515489,0,380024,194087,574111,,,,
DTT,HOSE,1.00,14.2,463%,648%,0.22,8151820,8151820,0,3994391,115755842,151760,0,125566,49997,175562,,,,
DTV,HASTC,4.29,10.0,2008%,2178%,0.48,5280000,5280000,0,2582100,225983996,0,0,104060,8822,112882,,,,
DUS,HASTC,1.80,13.9,957%,1321%,0.41,5614300,5614300,0,0,140357500,116211,10009,76563,29093,105657,,,,
DVC,HASTC,0.71,12.7,179%,394%,1.42,10793670,10793670,0,2279197,97143030,70022,1659,195484,234990,430474,,,,
DVG,HASTC,2.08,5.0,210%,242%,2.17,4000000,4000000,0,0,42000000,179033,546,343897,51464,395361,,,,
DVN,HASTC,0.89,20.7,356%,714%,1.33,237000000,237000000,0,0,4360799910,5035050,211612,2962216,2989624,5951840,,,,
DVP,HOSE,6.13,8.1,1789%,1925%,0.86,40000000,40000000,0,19600000,1990000000,544063,0,1275022,96912,1371934,,,,
DVW,HASTC,2.40,5.9,750%,1356%,0.04,2345000,2345000,0,0,33299000,0,0,41413,33515,74928,,,,
DWS,HASTC,1.06,10.4,273%,889%,0.36,25918130,25918130,0,0,285099430,365413,0,309513,699025,1008538,,,,
DX2,HASTC,0.52,19.6,63%,498%,0.00,4950000,4950000,0,0,50489999,204675,0,52092,358754,410845,,,,
DXD,HASTC,0.07,157.1,21%,67%,0.90,1019700,1019700,0,0,11216700,5560,0,10661,26302,36963,,,,
DXG,HOSE,1.08,19.2,217%,576%,1.77,517557917,518796292,1238375,57459149,10739083640,5272824,557838,9679544,15995056,25674600,,,,
DXL,HASTC,0.49,10.2,177%,447%,-0.10,3957900,3957900,0,625611,19789500,36097,-6429,43602,66351,109953,,,,
DXP,HASTC,2.20,6.3,1170%,1214%,1.53,25987027,25987027,0,3858736,358620978,97797,0,472138,17723,489861,,,,
DXV,HOSE,-0.17,-22.2,-135%,-159%,1.58,9900000,9900000,0,4851000,37422000,185276,0,108744,18718,127462,,,,
DZM,HASTC,0.57,8.4,240%,572%,1.77,5395985,5395985,0,2644032,25900729,58883,0,53669,74205,127874,,,,
E12,HASTC,0.08,125.0,19%,62%,-0.12,1200000,1200000,0,0,12000000,32751,0,14832,32919,47751,,,,
E1VFVN30,HASTC,0.00,0.0,0%,0%,0.95,21800000,21800000,0,0,520,0,0,0,0,0, TP.HCM,(84.8) 3825 1488,(84.8) 3825 1489,ww.vinafund.com
E29,HASTC,0.39,15.4,53%,373%,1.82,5000000,5000000,0,0,30000000,315861,1839,50238,312086,362324,,,,
EAD,HASTC,1.34,16.5,446%,1138%,0.46,2877800,2877800,0,0,63599381,0,0,33984,52787,86771,,,,
EBA,HASTC,1.41,8.9,482%,1149%,0.05,15500000,15500000,0,0,195300006,88470,0,189591,262393,451984,,,,
EBS,HASTC,0.96,9.4,566%,673%,0.48,9658084,9938784,280700,5007547,89449056,121748,0,138399,26158,164557,,,,
ECI,HASTC,2.53,17.8,1118%,1384%,0.42,1860000,1860000,0,911400,83700000,69603,0,34002,8079,42081,,,,
EFI,HASTC,-0.28,-8.6,-426%,-437%,0.97,13425700,13425700,0,6578593,32221681,14463,0,85852,2191,88043,,,,
EIB,HOSE,0.71,36.6,54%,516%,0.98,1235522904,1235522904,0,370656871,32123595504,10323943,876240,16992637,143960713,160953350,,,,
EIC,HASTC,1.27,10.7,1081%,1106%,2.02,36677145,36677145,0,0,498809186,14631,0,422186,9745,431930,,,,
EID,HASTC,3.43,4.6,1078%,1759%,0.68,15000000,15000000,0,7350000,237000003,719380,51409,292259,184720,476978,,,,
EIN,HASTC,0.95,13.2,184%,586%,1.72,30407161,30407161,0,0,380089512,109360,0,493086,1079492,1572578,,,,
ELC,HOSE,673.00,0.0,2%,4%,1.54,50928243,50928243,0,22832713,697716919,739036,34256,860136,550449,1410585,,,,
EMC,HOSE,0.18,94.4,57%,173%,0.60,15297333,15297333,0,5621770,260054661,688368,1100,161925,329634,491559,,,,
EME,HASTC,0.37,137.8,121%,208%,0.83,3780298,3780298,0,0,192795198,0,0,66393,47468,113862,,,,
EMG,HASTC,4.25,3.6,1057%,1568%,0.39,3000000,3000000,0,0,46500000,0,0,81313,39257,120570,,,,
EMS,HASTC,6.22,6.4,859%,2439%,1.21,9158788,9158788,0,0,366351520,537044,0,257441,524173,781614,,,,
EPC,HASTC,0.01,620.0,10%,13%,0.00,9388500,9388500,0,0,58208698,0,0,85898,27098,112996,,,,
EPH,HASTC,2.00,4.7,752%,1490%,0.46,2500000,2500000,0,0,23499999,5651,0,28007,32107,60113,,,,
ETHUSD-X,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
EUR-X,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
EVE,HOSE,1.40,9.0,418%,607%,1.30,41021173,41500473,479300,41979773,522905976,855195,0,948029,427297,1375326,,,,
EVF,HASTC,1.03,9.9,97%,724%,1.48,264981265,264981265,0,0,2702808852,1581080,273992,3783352,24538560,28321912,,,,
EVG,HOSE,0.17,53.8,110%,138%,1.75,105000000,105000000,0,0,960749960,864521,18252,1322819,335262,1658081,,,,
EVS,HASTC,2.38,13.4,1252%,1682%,1.48,60000400,60000400,0,0,1908012674,386825,142955,850003,291869,1141872,,,,
FBA,HASTC,0.01,90.0,267%,514%,0.00,163915200,163915200,0,1640301,147523676,0,0,36877,34059,70936,,,,
FBC,HASTC,12.65,0.4,1497%,3995%,-0.24,3700000,3700000,0,0,17020000,292232,0,117118,195495,312614,,,,
FCC,HASTC,-3.19,-3.4,-11226%,-27952%,0.00,5997040,5997040,0,2938549,65967440,0,0,6846,10200,17046,,,,
FCM,HOSE,0.40,15.7,189%,285%,0.97,41000000,41000000,0,20090000,257480009,505846,16202,569420,285626,855046,,,,
FCN,HOSE,0.98,11.0,172%,483%,1.54,125439007,125439007,0,14599307,1354741300,3311881,122547,2537133,4594336,7131469,,,,
FCS,HASTC,-1.23,-3.9,-472%,-4697%,0.40,29450000,29450000,0,0,141360006,824261,0,76964,688444,765407,,,,
FDC,HOSE,-0.09,-123.9,-35%,-62%,1.08,38629988,38629988,0,13528894,430724351,193035,-3617,585307,443236,1028542,,,,
FDG,HASTC,-0.34,-2.9,-516%,520%,1.29,13200000,13200000,0,6352680,13200000,2130,-1424,-87284,175382,88098,,,,
FGL,HASTC,-4.72,-2.2,-1650%,-3296%,0.26,6481323,6481323,0,0,68053892,13597,0,92879,92672,185551,,,,
FHN,HASTC,0.54,24.1,84%,332%,0.26,3000000,3000000,0,0,39000000,522605,1321,48535,143143,191678,,,,
FHS,HASTC,1.48,13.1,111%,844%,1.29,9108277,9108277,0,0,176700570,0,0,159861,1057725,1217586,,,,
FIC,HASTC,0.59,15.3,268%,483%,1.47,127000000,127000000,0,0,1143000000,2414866,74543,1541927,1236957,2778884,,,,
FID,HASTC,-0.08,-38.7,-75%,-80%,2.74,23539998,23539998,0,10779999,72973992,102207,0,235709,16399,252108,,,,
FIR,HOSE,1.22,28.4,595%,899%,0.80,27039864,27039864,0,0,935579253,143231,33082,367934,188438,556372,,,,
FIT,HOSE,0.27,55.0,130%,168%,1.82,254730245,254730245,0,94838991,3782744235,1232228,68322,4061281,1184898,5246179,,,,
FLC,HOSE,1.80,5.9,433%,1314%,2.02,709997807,709997807,0,259637051,7525977025,11186279,1275202,9705713,19754940,29460653,,,,
FMC,HOSE,3.61,9.8,1098%,1682%,1.34,59844000,59844000,0,14700000,2112493154,4688115,29772,1283234,682982,1966216,,,,
FOC,HASTC,11.31,9.4,1967%,2435%,0.90,18471275,18471275,0,0,1967190788,631281,41727,857739,204533,1062272,,,,
FOX,HASTC,6.13,12.7,1046%,3029%,0.74,273646461,273646461,0,0,21317059729,11814243,1676899,5536009,10495620,16031629,,,,
FPT,HOSE,4.72,19.2,831%,1874%,1.19,783987486,783987486,0,225119075,70950867483,30882358,3696585,19730300,24743978,44474278,,,,
FRC,HASTC,7.21,3.8,986%,2254%,0.61,3000000,3000000,0,0,82800001,25193,0,96011,123470,219481,,,,
FRM,HASTC,0.69,29.0,525%,632%,0.21,11700000,11700000,0,0,234000000,118512,0,126951,25980,152931,,,,
FRT,HOSE,0.24,140.8,25%,149%,1.53,78981792,78981792,0,0,2669584509,15355283,18764,1256057,6316128,7572185,,,,
FSO,HASTC,-0.59,-19.5,-589%,-614%,0.00,5624966,5624966,0,0,64687109,130442,4805,54051,2235,56286,,,,
FT1,HASTC,6.49,7.7,1581%,3237%,0.68,7079853,7079853,0,0,353992650,0,0,141840,148631,290471,,,,
FTI,HASTC,1.19,2.9,1158%,1436%,-0.08,3943710,3943710,0,0,13802985,4469,-5185,32579,7808,40387,,,,
FTM,HOSE,-4.05,-0.7,-1369%,-7642%,1.88,50000000,50000000,0,0,140999997,71707,0,265197,1215580,1480778,,,,
FTS,HOSE,3.13,10.5,1042%,1761%,1.68,132267349,132267349,0,0,4364822517,695924,413437,2347784,1621808,3969592,,,,
FUCTVGF1,HASTC,359.00,34.4,0%,0%,0.00,15000000,15000000,0,0,185,0,5390,0,0,0, TP.Hồ Chí Minh,028 6299 2090,028 6299 2103,www.tvam.vn
FUCTVGF2,HASTC,-1605.00,-9.8,0%,0%,0.12,17000000,17000000,0,0,269,0,-27288,,,,,,,
FUCVREIT,HASTC,0.00,0.0,0%,0%,0.27,5000000,5000000,0,0,76,0,0,0,0,0,(+84) 4 39446368,(+84) 4 39446583,www.techcomcapital.com.vn,
FUEMAV30,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
FUESSV30,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
FUESSV50,HASTC,0.00,0.0,0%,0%,0.94,9800000,9800000,0,0,200,0,0,,,,,,,
FUESSVFL,HASTC,0.00,0.0,0%,0%,0.17,26200000,26200000,0,0,537,0,0,,,,,,,
FUEVFVND,HASTC,0.00,0.0,0%,0%,0.94,0,0,0,0,0,0,0,,,,,,,
FUEVN100,HASTC,0.00,0.0,0%,0%,-1.15,0,0,0,0,0,0,0,,,,,,,
G20,HASTC,-1.14,-0.7,-1583%,-7947%,2.22,43200000,43200000,0,7056000,34560001,0,0,62241,250263,312503,,,,
G36,HASTC,1.35,6.4,264%,1181%,2.40,93599437,93599437,0,0,804955194,2310965,13326,1071262,3726466,4797727,,,,
GAB,HOSE,0.16,1210.6,99%,140%,0.05,13800000,13800000,0,0,2673059958,399429,0,161952,67993,229945,,,,
GAS,HOSE,3.89,22.6,1086%,1444%,1.22,1913950000,1913950000,0,937835500,168427600000,64659679,7449668,51576579,17049736,68626315,,,,
GBP-X,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
GC-F,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
GCB,HASTC,0.26,44.2,117%,168%,2.07,4039147,4039147,0,0,46450190,774523,9101,61385,26660,88046,,,,
GDT,HOSE,4.88,10.9,2125%,2903%,0.88,17117648,17127308,9660,6353072,909460029,421234,0,287512,105322,392833,,,,
GDW,HASTC,2.20,9.6,562%,1196%,1.04,9500000,9500000,0,4199900,200450004,582734,0,174793,197419,372211,,,,
GE2,HASTC,6466.32,0.0,333%,752%,1.00,262500,262500,0,0,9476250,27497975,2481855,21527777,27951370,49479147,,,,
GEG,HOSE,0.95,16.6,335%,771%,1.21,271175188,271175188,0,0,4284568022,1494183,257222,3336365,4348050,7684415,,,,
GER,HASTC,0.19,15.8,104%,166%,0.91,2200000,2200000,0,1078000,6600000,132456,469,24705,14814,39519,,,,
GEX,HOSE,2.02,10.6,330%,1151%,1.42,488244000,488244000,0,66662600,10424009586,19003475,987224,8580732,21366720,29947452,,,,
GGG,HASTC,-3.03,-0.8,-4523%,1747%,0.93,9635456,9635456,0,4073961,24088640,66744,0,-167265,231889,64623,,,,
GHC,HASTC,2.54,11.6,759%,1570%,0.54,41000000,41000000,0,9986634,1209500000,303044,0,663334,708685,1372020,,,,
GIC,HASTC,3.12,5.9,1350%,1609%,0.81,12120000,12120000,0,0,223007995,180382,0,234779,44959,279738,,,,
GIL,HOSE,9.35,6.9,1220%,2476%,1.39,36000000,36000000,0,6823048,2322000000,3598958,336669,1359510,1401127,2760636,,,,
GKM,HASTC,0.92,14.7,451%,746%,0.68,14883709,14883709,0,0,200930072,185143,0,184193,120496,304689,,,,
GLC,HASTC,-1.47,-6.8,-2982%,-4999%,0.00,10500000,10500000,0,0,105000000,11252,0,27451,21933,49384,,,,
GLT,HASTC,2.92,11.3,1680%,2512%,1.24,9196946,9216696,19750,4525858,304150968,136515,27369,107445,52437,159882,,,,
GLW,HASTC,0.52,7.9,475%,489%,0.36,18000000,18000000,0,0,73799998,53878,0,192199,5955,198154,,,,
GMA,HASTC,0.64,93.4,210%,529%,0.15,6000000,6000000,0,0,358799995,96324,0,74482,54627,129110,,,,
GMC,HOSE,0.79,37.8,199%,356%,1.42,29906760,29956020,49260,5728261,894187208,1406712,-12926,660736,518667,1179403,,,,
GMD,HOSE,1.34,31.7,397%,589%,1.50,296924957,296924957,0,36604185,12619310672,2689664,397720,6755927,3269818,10025744,,,,
GMX,HASTC,5.17,7.4,1881%,2833%,0.70,5320694,5320694,0,2607140,203250515,259985,0,97190,49190,146381,,,,
GND,HASTC,6.09,5.0,1376%,1821%,1.24,9000000,9000000,0,0,271800007,69711,0,301103,97550,398652,,,,
GQN,HASTC,-0.17,-59.4,-143%,-172%,0.00,846000,846000,0,0,8544600,0,0,8124,1658,9782,,,,
GSM,HASTC,1.02,12.7,510%,742%,1.02,28562000,28562000,0,13995380,371306000,127740,0,392138,178006,570143,,,,
GSP,HOSE,1.72,6.7,658%,1295%,0.95,36000000,36000000,0,14700000,415800007,1697380,0,476657,460947,937605,,,,
GTA,HOSE,1.95,7.4,368%,1158%,1.23,9260000,9830000,570000,5096000,142535000,528731,0,156146,335721,491867,,,,
GTD,HASTC,-1.48,-13.8,-1249%,-3055%,0.54,9300000,9300000,0,0,189719996,0,0,44946,64973,109919,,,,
GTH,HASTC,0.37,13.8,45%,305%,1.02,2735500,2735500,0,1340313,13951050,0,0,33464,191214,224678,,,,
GTK,HASTC,-0.02,-600.0,-9%,-15%,0.00,7700000,7700000,0,0,92400000,0,0,76976,49294,126271,,,,
GTN,HOSE,0.43,38.0,239%,264%,1.49,250000000,250000000,0,150000000,4087500095,2820638,108046,4098391,428907,4527298,,,,
GTS,HASTC,1.60,5.9,565%,1351%,1.00,28499764,28499764,0,0,270747758,1142100,0,337567,470374,807940,,,,
GTT,HASTC,-2.98,-0.2,-1930%,1205%,2.28,43503000,43503000,0,21306095,26101801,10878,0,-1075201,1746551,671349,,,,
GVR,HOSE,1.23,25.2,623%,944%,1.85,4000000000,4000000000,0,0,124000000000,23406124,4922423,52137157,26908121,79045278,,,,
GVT,HASTC,12.36,5.7,1927%,4639%,1.26,11605100,11605100,0,0,815838565,1213831,8924,309116,435084,744201,,,,
H11,HASTC,0.19,36.3,27%,164%,1.77,1060000,1060000,0,519400,7314000,0,0,12212,62028,74240,,,,
HAB,HASTC,0.54,140.7,364%,493%,0.16,2000000,2000000,0,0,152000000,11663,-1000,21911,7764,29674,,,,
HAC,HASTC,1.00,8.5,778%,888%,2.17,29181096,29181096,0,0,248039316,61080,29158,328497,46485,374982,,,,
HAD,HASTC,1715.00,0.0,8%,9%,1.03,4000000,4000000,0,1960000,66800003,144686,0,74043,14731,88775,,,,
HAF,HASTC,-0.60,-51.2,-359%,-581%,2.74,14500000,14500000,0,0,445150011,130538,-8665,149158,92497,241655,,,,
HAG,HOSE,-1.52,-3.2,-765%,-2970%,1.45,924289099,924289099,0,336368351,4529016673,2552479,-1408897,4744055,13672411,18416466,,,,
HAH,HOSE,3.57,11.0,788%,1225%,1.46,48782751,48782751,0,11366153,1922040464,1271135,174104,1421311,788534,2209845,,,,
HAI,HOSE,0.04,81.8,29%,38%,1.82,182682799,182682799,0,57476663,597372749,562233,8151,2133843,725389,2859232,,,,
HAM,HASTC,5.01,4.8,280%,1770%,0.15,6225399,6225399,0,0,149409576,0,0,176274,936699,1112973,,,,
HAN,HASTC,0.16,71.9,35%,138%,1.83,141048000,141048000,0,0,1622052000,1759345,2226,1513333,3321580,4834914,,,,
HAP,HASTC,0.79,14.2,540%,603%,1.67,55315681,55471151,155470,25244915,621276881,330845,43626,722969,85249,808218,,,,
HAR,HOSE,0.00,0.0,-3%,-4%,1.55,101350100,101350100,0,47420502,432764925,165876,511,1034789,221963,1256752,,,,
HAS,HOSE,0.41,31.3,133%,221%,0.99,7600000,7800000,200000,3920000,100230003,171472,0,142041,94735,236776,,,,
HAT,HASTC,1.36,14.3,311%,665%,1.01,3123000,3123000,0,1530270,60898500,778756,0,63813,72459,136272,024 37.28.11.06,www.biahoihanoi.com.vn,,
HAV,HASTC,-0.28,-11.4,-354%,-628%,0.66,3297860,3297860,0,0,10553152,0,0,14715,11400,26114,024 38 276 600,www.haprogroup.vn,,
HAW,HASTC,,0.0,0%,0%,0.00,61500,61500,0,0,615000,15038,0,321754,5882,327635,,,,
HAX,HOSE,4.81,4.0,1406%,2979%,1.49,36744405,36744405,0,5446922,698143695,6085651,176871,593656,664238,1257894,,,,
HBC,HOSE,0.31,41.1,46%,171%,1.65,230875399,230875399,0,46279258,2943661337,11033016,70926,4153775,11410797,15564571,,,,
HBD,HASTC,1.82,8.5,1007%,1069%,0.78,1797700,1904400,106700,727790,29327759,38441,0,30593,1864,32457,,,,
HBE,HASTC,0.79,9.4,575%,661%,0.61,2231058,2231058,0,1093218,16509829,50949,0,26827,3965,30792,,,,
HBH,HASTC,0.99,5.8,675%,1100%,1.69,16000000,16000000,0,0,91199997,294386,0,143808,90662,234470,,,,
HBS,HASTC,0.13,53.1,112%,113%,2.59,32999980,32999980,0,16169990,227699865,13886,4417,390308,2474,392782,,,,
HBW,HASTC,0.12,59.2,19%,108%,0.39,6679289,6679289,0,0,47422951,0,0,71135,330954,402089,,,,
HC1,HASTC,1.57,9.1,105%,635%,0.60,8000000,8000000,0,0,114400002,427282,0,198385,1001238,1199623,,,,
HC3,HASTC,6.00,4.5,1409%,1604%,1.40,18805267,18805267,0,0,509622743,78332,112892,703921,97564,801485,,,,
HCB,HASTC,1.91,9.9,138%,763%,1.15,5199274,5199274,0,0,98786206,0,0,129976,586514,716490,,,,
HCC,HASTC,0.03,336.7,14%,26%,0.75,6518586,6518586,0,1798555,65837721,182730,0,72324,61746,134071,,,,
HCD,HOSE,0.04,160.0,25%,35%,1.75,27000000,27000000,0,6615000,172800003,529473,0,342736,135762,478498,,,,
HCI,HASTC,3.81,5.0,1043%,2391%,0.49,5232000,5232000,0,2558980,100454404,0,0,83449,107903,191353,,,,
HCM,HOSE,2.68,16.9,545%,1712%,1.82,304631522,305256892,625370,62355811,13812874363,2964011,751278,4762168,10199662,14961830,,,,
HCS,HASTC,2.96,4.8,651%,2030%,0.98,2250000,2250000,0,0,32175000,0,0,32825,69440,102265,,,,
HCT,HASTC,0.24,55.0,108%,119%,1.10,2016385,2016385,0,988028,26616282,87297,0,40267,3891,44158,,,,
HD2,HASTC,0.05,150.0,39%,42%,1.52,8962353,8962353,0,4386352,67217648,148736,3771,114847,9541,124387,,,,
HD6,HASTC,0.18,69.4,29%,135%,0.00,14400000,14400000,0,0,180000000,92887,3571,197421,843579,1041000,,,,
HD8,HASTC,0.54,16.1,221%,427%,1.33,10000000,10000000,0,0,86999998,0,0,127225,117970,245195,,,,
HDA,HASTC,0.82,22.6,256%,456%,0.94,11500000,11500000,0,5635000,212750000,358190,6546,206365,160538,366904,,,,
HDB,HOSE,3.97,8.1,151%,1864%,1.42,1240619957,1255698645,15078688,0,40621849250,24024929,5215836,26411472,299409970,325821442,,,,
HDC,HOSE,4.07,14.3,795%,2142%,1.44,65234593,65875422,640829,20145467,3827361918,1002032,265654,1240308,2102863,3343171,,,,
HDG,HOSE,6.73,7.8,739%,2385%,1.46,154275018,154275018,0,33841077,8130293566,5197493,1038619,4354200,9699153,14053353,,,,
HDM,HASTC,1.19,14.4,198%,611%,0.72,10000000,10000000,0,2385282,171000004,1210385,10335,194929,407236,602166,,,,
HDO,HASTC,-6.29,-0.1,6721%,6721%,2.35,16679879,16819879,140000,7330340,13455903,3472,0,-156067,0,-156067,,,,
HDP,HASTC,0.81,14.3,313%,649%,1.03,9011418,9011418,0,0,104532452,194367,2694,111925,120177,232102,,,,
HDW,HASTC,1.66,7.8,551%,1255%,0.36,31882470,31882470,0,0,414472110,503077,0,421239,538547,959786,,,,
HEC,HASTC,11.08,5.5,816%,1971%,2.09,4200000,4200000,0,0,256200000,0,0,235963,333908,569871,,,,
HEJ,HASTC,1.01,21.8,228%,576%,1.18,4400000,4400000,0,0,96800000,0,0,77409,118404,195813,,,,
HEM,HASTC,0.09,186.7,47%,59%,1.67,38704650,38704650,0,0,650238090,494577,2412,624902,158899,783801,,,,
HEP,HASTC,1.66,6.7,145%,167%,2.21,6000000,6000000,0,0,67199999,0,0,599178,90553,689731,,,,
HES,HASTC,-1.41,-17.2,-1197%,-1351%,1.27,9297450,9297450,0,0,225928028,100126,434,96963,12508,109471,,,,
HEV,HASTC,2.21,6.7,942%,1366%,1.28,1000000,1000000,0,490000,14800000,37735,0,16163,7269,23432,,,,
HFB,HASTC,1.29,8.5,283%,1136%,0.77,9100000,9100000,0,0,100100000,0,0,103229,311141,414370,,,,
HFC,HASTC,-1.25,-13.6,-235%,-1415%,1.65,6455335,6455335,0,1029000,109740695,0,0,57187,286943,344130,,,,
HFS,HASTC,-1.12,-25.5,-797%,-1058%,-0.15,10000000,10000000,0,0,286000004,0,0,105862,34673,140536,,,,
HFX,HASTC,-3.82,-0.4,-1658%,244%,0.00,1270000,1270000,0,622300,1778000,6277,-8023,-199384,228663,29280,,,,
HGA,HASTC,0.01,1000.0,2%,40%,0.32,778181,778181,0,0,7781810,0,0,994,16955,17948,,,,
